ABI1	PCMT1
ABI1	LAMP1
ABI1	TSC1
ABI1	INPPL1
ABI1	EIF3H
ABI1	RPS6KA2
ABI1	IKBIP
ABI1	TRA2B
ABI1	ENKD1
ABI1	CORO1C
ABI1	TUBB4B
ABI1	LYN
ABI1	PLCG1
ABI1	PRPF40A
ABI1	SMARCD1
ABI1	HCK
ABI1	ACTN2
ABI1	PAK2
ABI1	NCK2
ABI1	EZR
ABI1	DST
ABI2	UBXN11
ABI2	TRIP6
ABI2	WASF1
ABI2	ESR1
ABI2	PIN1
ABI2	ANKRD55
ABI2	SORBS3
ABI2	GGN
ABI2	MEOX2
ABI2	TRAF3IP1
ABI2	LNX1
ABI2	RAC1
ABI2	CASKIN2
ABI2	CRX
ABI2	LZTS2
ABI2	STX4
ABI2	CENPQ
ABI2	PCM1
ABI2	SDCBP
ABI2	ABL2
ABI2	SLA
ABI2	FKBP1A
ABI2	NCK1
ABI2	EGLN3
ABI2	WASL
ABI2	CEP44
ABI2	KRT27
ABI2	UBQLN2
ABI2	NCK2
ABI2	ARHGAP32
ABI2	ABI1
ABI2	VASP
ABI2	WASF2
ABI2	KRT14
ABI2	HOOK3
ABI2	CYFIP2
ABI2	TPM2
ABI2	MRPL44
ABI2	RASD1
ABI2	MCM7
ABI2	TNIP1
ABI2	VCL
ABI2	WASHC3
ABI2	LHX3
ABI2	IFT20
ABI2	BAG4
ABI2	KRT24
ABI2	RAPH1
ABI2	TRIM32
ABI2	NCKIPSD
ABI2	LAMP1
ABI2	USP2
ABI2	PPIF
ABI2	JPH3
ABI2	CCDC102B
ABI2	KRT31
ABI2	KNSTRN
ABI2	BICD1
ABI2	EFS
ABI2	PSMA1
ABI2	NME4
ABI2	NFASC
ABI2	LMO2
ABI2	KRT34
ABI2	SNAP23
ABI2	KRT15
ABI2	MED10
ABI2	HOOK1
ABI2	FHL5
ABI3	SH3BP1
ABI3	NDEL1
ABI3	VARS2
ABI3	SUFU
ABI3	DTNBP1
ABI3	SNAP23
ABI3	EVL
ABI3	GOLM1
ABI3	ABI2
ABI3	FBF1
ABI3	KRT31
ABI3	KLC3
ABI3	WASF2
ABI3	RUFY3
ABI3	KRT35
ABI3	NCK2
ABI3	GRB2
ABI3	ACTN3
ABI3	SOS1
ABITRAM	TAOK1
ABL1	SRPK2
ABL1	MUC1
ABL1	DDX41
ABL1	PCNA
ABL1	RASA1
ABL1	MED25
ABL1	LRP2
ABL1	ABI2
ABL1	RIN1
ABL1	PRKD1
ABL1	GTF2IRD1
ABL1	BAZ2A
ABL1	PFDN4
ABL1	DDB2
ABL1	HSP90AB1
ABL1	TP73
ABL1	INPPL1
ABL1	SOCS3
ABL1	EWSR1
ABL1	RYBP
ABL1	HSPE1
ABL1	RPL37
ABL1	RPLP1
ABL1	LATS2
ABL1	TERF1
ABL1	PPP3CA
ABL1	PRKDC
ABL1	MED14
ABL1	RFX1
ABL1	SHC1
ABL1	DNM2
ABL1	NBEA
ABL1	YWHAH
ABL1	SF3B4
ABL1	NCSTN
ABL1	NCK1
ABL1	ABI1
ABL1	CDC27
ABL1	PSMA7
ABL1	SQSTM1
ABL1	FYN
ABL1	PAK2
ABL1	LRRK2
ABL1	SORBS2
ABL1	ROBO1
ABL1	TGOLN2
ABL1	PRDX1
ABL1	TP53BP1
ABL1	F2RL2
ABL1	GRB10
ABL1	NELFB
ABL1	PRKCZ
ABL1	NCOA3
ABL1	NFKBIA
ABL1	SPRR2A
ABL1	DOK2
ABL1	HUWE1
ABL1	FBXO7
ABL1	WASF2
ABL1	NCF1
ABL1	CASP9
ABL1	PXN
ABL1	CABLES1
ABL1	RAPGEF1
ABL1	SELENON
ABL1	ZAP70
ABL1	YWHAE
ABL1	DVL2
ABL1	LRRK1
ABL1	LARS1
